epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5936,1.35348,5.39661,0.93773,0,0,0,0,1.37826,4.52457,0.88676,4e-05,4e-05,0.09604
2,43.18,1.57533,5.27519,0.99509,0,0,0,0,1.23434,4.5028,0.87537,8.955e-05,8.955e-05,0.0910896
3,43.7635,1.42457,4.86513,0.91615,0,0,0,0,1.45607,4.44762,0.87178,0.0001386,0.0001386,0.0861386
4,44.329,1.39774,4.42493,0.897,0,0,0,0,1.42945,4.39359,0.85823,0.00018715,0.00018715,0.0811872
5,44.958,1.53428,3.74803,0.86327,0.00223,0.125,0.02488,0.01182,1.44084,4.36197,0.91182,0.0002352,0.0002352,0.0762352
6,45.5096,1.42945,3.46237,0.85415,5e-05,0.125,0.06219,0.04975,1.41127,4.36388,0.94587,0.00028275,0.00028275,0.0712828
7,46.0554,1.57249,3.40231,0.87794,0.00022,0.125,0.12437,0.08706,1.37896,4.34983,0.94543,0.0003298,0.0003298,0.0663298
8,46.5562,1.54931,3.20093,0.88043,0.00124,0.125,0.04146,0.03317,1.30294,4.30777,0.89526,0.00037635,0.00037635,0.0613764
9,47.0468,1.55074,2.60968,0.88104,0.00162,0.125,0.04146,0.03317,1.46231,4.26996,1.02242,0.0004224,0.0004224,0.0564224
10,47.6631,1.42522,2.73392,0.87592,0.00379,0.125,0.06219,0.03731,1.37901,4.18556,0.90414,0.00046795,0.00046795,0.051468
11,48.1922,1.42856,2.50336,0.87077,0.00543,0.125,0.12437,0.07462,1.3373,4.1169,0.87035,0.000513,0.000513,0.046513
12,48.7259,1.423,2.41315,0.86972,0.13636,0.1875,0.21813,0.15269,1.43229,4.0249,0.88858,0.00055755,0.00055755,0.0415576
13,49.2312,1.43307,2.37337,0.81883,0.25521,0.25481,0.30593,0.19219,1.45245,3.93338,0.89434,0.0006016,0.0006016,0.0366016
14,49.7101,1.2757,2.076,0.84344,0.25521,0.25481,0.30593,0.19219,1.45245,3.93338,0.89434,0.00064515,0.00064515,0.0316452
15,50.2797,1.23812,2.25727,0.84688,0.25694,0.32692,0.33953,0.22731,1.34213,3.8096,0.87779,0.000688201,0.000688201,0.0266882
16,50.7808,1.24635,1.95334,0.88768,0.21345,0.46154,0.38089,0.26247,1.3153,3.6411,0.87022,0.000730751,0.000730751,0.0217308
17,51.3092,1.31841,2.04149,0.85015,0.30222,0.52404,0.48897,0.33004,1.3575,3.56149,0.86592,0.000772801,0.000772801,0.0167728
18,51.794,1.36928,2.07046,0.84223,0.30222,0.52404,0.48897,0.33004,1.3575,3.56149,0.86592,0.000814351,0.000814351,0.0118144
